atomnumber,charge,casno,x,y,z,state,config,atomtype
1,0,204,3.269400000000000e-002,-4.216680000000000e-001,0.000000000000000e+000,1,1,34
2,0,204,3.269400000000000e-002,1.537332000000000e+000,0.000000000000000e+000,1,1,6
3,0,204,-1.433648000000000e+000,-5.615690000000000e-001,0.000000000000000e+000,1,1,1
4,0,204,1.070338000000000e+000,1.864500000000000e+000,0.000000000000000e+000,1,1,1
5,0,204,-4.722200000000000e-001,1.904893000000000e+000,8.909010000000001e-001,1,1,1
6,0,204,-4.722200000000000e-001,1.904893000000000e+000,-8.909010000000001e-001,1,1,1
1,0,50000,0.000000000000000e+000,0.000000000000000e+000,1.205000000000000e+000,1,1,8
2,0,50000,0.000000000000000e+000,0.000000000000000e+000,0.000000000000000e+000,1,1,6
3,0,50000,0.000000000000000e+000,9.428658000000000e-001,-5.876400000000001e-001,1,1,1
4,0,50000,0.000000000000000e+000,-9.428658000000000e-001,-5.876400000000001e-001,1,1,1
1,0,56235,0.000000000000000e+000,0.000000000000000e+000,0.000000000000000e+000,1,1,6
2,0,56235,1.020178000000000e+000,1.020178000000000e+000,1.020178000000000e+000,1,1,17
3,0,56235,-1.020178000000000e+000,-1.020178000000000e+000,1.020178000000000e+000,1,1,17
4,0,56235,-1.020178000000000e+000,1.020178000000000e+000,-1.020178000000000e+000,1,1,17
5,0,56235,1.020178000000000e+000,-1.020178000000000e+000,-1.020178000000000e+000,1,1,17
1,0,57136,0.000000000000000e+000,0.000000000000000e+000,1.359940000000000e-001,1,1,6
2,0,57136,0.000000000000000e+000,0.000000000000000e+000,1.357094000000000e+000,1,1,8
3,0,57136,-1.023600000000000e-001,1.155773000000000e+000,-6.071880000000000e-001,1,1,7
4,0,57136,1.023600000000000e-001,-1.155773000000000e+000,-6.071880000000000e-001,1,1,7
5,0,57136,0.000000000000000e+000,1.999888000000000e+000,-4.164300000000000e-002,1,1,1
6,0,57136,2.399450000000000e-001,1.163968000000000e+000,-1.544400000000000e+000,1,1,1
7,0,57136,0.000000000000000e+000,-1.999888000000000e+000,-4.164300000000000e-002,1,1,1
8,0,57136,-2.399450000000000e-001,-1.163968000000000e+000,-1.544400000000000e+000,1,1,1
1,0,57556,7.245790000000000e-001,1.270233000000000e+000,-4.173520000000000e-001,1,1,8
2,0,57556,1.039990000000000e-001,2.003087000000000e+000,-1.384190000000000e-001,1,1,1
3,0,57556,-1.555628000000000e+000,-2.720540000000000e-001,-5.723680000000000e-001,1,1,8
4,0,57556,-9.883780000000000e-001,-9.395640000000000e-001,-1.054714000000000e+000,1,1,1
5,0,57556,-9.608140000000000e-001,-2.346500000000000e-002,6.928590000000000e-001,1,1,6
6,0,57556,-1.411974000000000e+000,9.122350000000000e-001,1.039191000000000e+000,1,1,1
7,0,57556,-1.126742000000000e+000,-9.397550000000000e-001,1.268972000000000e+000,1,1,1
8,0,57556,5.502520000000000e-001,1.827170000000000e-001,4.789290000000000e-001,1,1,6
9,0,57556,1.025808000000000e+000,4.207340000000000e-001,1.436122000000000e+000,1,1,1
10,0,57556,1.225362000000000e+000,-1.057204000000000e+000,-1.362320000000000e-001,1,1,6
11,0,57556,7.714000000000000e-001,-1.276050000000000e+000,-1.108369000000000e+000,1,1,1
12,0,57556,2.294828000000000e+000,-8.630900000000000e-001,-2.688460000000000e-001,1,1,1
13,0,57556,1.090649000000000e+000,-1.915314000000000e+000,5.304950000000001e-001,1,1,1
1,0,60297,0.000000000000000e+000,0.000000000000000e+000,2.695610000000000e-001,1,1,8
2,0,60297,0.000000000000000e+000,1.170460000000000e+000,-5.184390000000000e-001,1,1,6
3,0,60297,0.000000000000000e+000,-1.170460000000000e+000,-5.184390000000000e-001,1,1,6
4,0,60297,0.000000000000000e+000,2.371555000000000e+000,4.081990000000000e-001,1,1,6
5,0,60297,0.000000000000000e+000,-2.371555000000000e+000,4.081990000000000e-001,1,1,6
6,0,60297,-8.878970000000001e-001,1.186981000000000e+000,-1.167566000000000e+000,1,1,1
7,0,60297,8.878970000000001e-001,1.186981000000000e+000,-1.167566000000000e+000,1,1,1
8,0,60297,8.878970000000001e-001,-1.186981000000000e+000,-1.167566000000000e+000,1,1,1
9,0,60297,-8.878970000000001e-001,-1.186981000000000e+000,-1.167566000000000e+000,1,1,1
10,0,60297,0.000000000000000e+000,3.296106000000000e+000,-1.728950000000000e-001,1,1,1
11,0,60297,0.000000000000000e+000,-3.296106000000000e+000,-1.728950000000000e-001,1,1,1
12,0,60297,8.840460000000000e-001,2.355162000000000e+000,1.045611000000000e+000,1,1,1
13,0,60297,-8.840460000000000e-001,2.355162000000000e+000,1.045611000000000e+000,1,1,1
14,0,60297,-8.840460000000000e-001,-2.355162000000000e+000,1.045611000000000e+000,1,1,1
15,0,60297,8.840460000000000e-001,-2.355162000000000e+000,1.045611000000000e+000,1,1,1
1,0,60355,-1.367359000000000e+000,-3.301720000000000e-001,1.297000000000000e-003,1,1,6
2,0,60355,7.199200000000000e-002,1.552330000000000e-001,-1.936000000000000e-003,1,1,6
3,0,60355,1.025867000000000e+000,-8.415540000000000e-001,-3.256600000000000e-002,1,1,7
4,0,60355,3.726160000000000e-001,1.337589000000000e+000,5.722000000000000e-003,1,1,8
5,0,60355,-2.065606000000000e+000,5.484220000000000e-001,-6.115700000000000e-002,1,1,1
6,0,60355,-1.542559000000000e+000,-1.007989000000000e+000,-8.780470000000000e-001,1,1,1
7,0,60355,-1.571920000000000e+000,-9.087980000000000e-001,9.429560000000000e-001,1,1,1
8,0,60355,2.004959000000000e+000,-5.674500000000000e-001,7.102300000000000e-002,1,1,1
9,0,60355,7.853290000000001e-001,-1.824378000000000e+000,1.112500000000000e-001,1,1,1
1,0,64175,1.187850000000000e+000,-3.829280000000000e-001,0.000000000000000e+000,1,1,6
2,0,64175,0.000000000000000e+000,5.525690000000000e-001,0.000000000000000e+000,1,1,6
3,0,64175,-1.186665000000000e+000,-2.471720000000000e-001,0.000000000000000e+000,1,1,8
4,0,64175,-1.923671000000000e+000,3.850170000000000e-001,0.000000000000000e+000,1,1,1
5,0,64175,2.098480000000000e+000,2.305510000000000e-001,0.000000000000000e+000,1,1,1
6,0,64175,1.118399000000000e+000,-1.009259000000000e+000,8.869220000000000e-001,1,1,1
7,0,64175,1.118399000000000e+000,-1.009259000000000e+000,-8.869220000000000e-001,1,1,1
8,0,64175,-2.269300000000000e-002,1.181241000000000e+000,8.852420000000000e-001,1,1,1
9,0,64175,-2.269300000000000e-002,1.181241000000000e+000,-8.852420000000000e-001,1,1,1
1,0,64186,0.000000000000000e+000,4.199070000000000e-001,0.000000000000000e+000,1,1,6
