charge,coordinate,casno,udex,state,atom2ECA,config,atom1ECA
0,1,33,1,1,3,1,1
0,1,204,1,1,3,1,1
0,2,204,1,1,2,1,1
0,3,204,1,1,4,1,2
0,3,204,2,1,5,1,2
0,3,204,3,1,6,1,2
0,4,204,1,1,1,1,2
0,5,204,1,1,2,1,4
0,5,204,2,1,2,1,4
0,5,204,3,1,2,1,5
0,1,50000,1,1,3,1,2
0,1,50000,2,1,4,1,2
0,2,50000,1,1,2,1,1
0,3,50000,1,1,2,1,3
0,4,50000,1,1,2,1,1
0,4,50000,2,1,2,1,1
0,1,56235,1,1,2,1,1
0,1,56235,2,1,3,1,1
0,1,56235,3,1,4,1,1
0,1,56235,4,1,5,1,1
0,2,56235,1,1,1,1,2
0,2,56235,2,1,1,1,2
0,2,56235,3,1,1,1,2
0,2,56235,4,1,1,1,3
0,2,56235,5,1,1,1,3
0,2,56235,6,1,1,1,4
0,1,56406,1,1,5,1,4
0,2,56406,1,1,4,1,1
0,3,56406,1,1,2,1,1
0,4,56406,1,1,3,1,1
0,5,56406,1,1,6,1,3
0,6,56406,1,1,9,1,5
0,6,56406,2,1,10,1,5
0,7,56406,1,1,7,1,4
0,7,56406,2,1,8,1,4
0,8,56406,1,1,4,1,1
0,9,56406,1,1,1,1,2
0,10,56406,1,1,1,1,3
0,11,56406,1,1,3,1,1
0,12,56406,1,1,5,1,4
0,12,56406,2,1,5,1,4
0,13,56406,1,1,5,1,9
0,14,56406,1,1,4,1,7
0,1,56417,1,1,3,1,1
0,2,56417,1,1,4,1,3
0,3,56417,1,1,6,1,4
0,4,56417,1,1,5,1,4
0,5,56417,1,1,3,1,2
0,6,56417,1,1,3,1,1
0,7,56417,1,1,4,1,3
0,8,56417,1,1,4,1,3
0,9,56417,1,1,3,1,2
0,1,57136,1,1,2,1,1
0,2,57136,1,1,3,1,1
0,2,57136,2,1,4,1,1
0,3,57136,1,1,8,1,4
0,3,57136,2,1,6,1,3
0,4,57136,1,1,7,1,4
0,4,57136,2,1,5,1,3
0,5,57136,1,1,1,1,3
0,6,57136,1,1,1,1,2
0,6,57136,2,1,1,1,2
0,7,57136,1,1,3,1,1
0,7,57136,2,1,4,1,1
0,8,57136,1,1,3,1,1
0,8,57136,2,1,4,1,1
0,9,57136,1,1,3,1,5
0,9,57136,2,1,4,1,7
0,10,57136,1,1,1,1,3
0,11,57136,1,1,1,1,2
0,11,57136,2,1,1,1,2
0,12,57136,1,1,1,1,2
0,12,57136,2,1,1,1,2
0,1,57556,1,1,8,1,5
0,1,57556,2,1,10,1,8
0,2,57556,1,1,8,1,1
0,2,57556,2,1,5,1,3
0,3,57556,1,1,6,1,5
0,3,57556,2,1,7,1,5
0,3,57556,3,1,9,1,8
0,3,57556,4,1,11,1,10
0,3,57556,5,1,12,1,10
0,3,57556,6,1,13,1,10
0,4,57556,1,1,2,1,1
0,4,57556,2,1,4,1,3
0,5,57556,1,1,8,1,5
0,6,57556,1,1,1,1,2
0,6,57556,2,1,3,1,4
0,7,57556,1,1,8,1,1
0,7,57556,2,1,8,1,1
0,7,57556,3,1,5,1,3
0,8,57556,1,1,5,1,6
0,8,57556,2,1,5,1,7
0,8,57556,3,1,8,1,5
0,8,57556,4,1,8,1,9
0,8,57556,5,1,10,1,8
0,8,57556,6,1,10,1,8
0,8,57556,7,1,10,1,8
0,9,57556,1,1,1,1,2
0,9,57556,2,1,3,1,4
0,10,57556,1,1,8,1,1
0,11,57556,1,1,1,1,2
0,12,57556,1,1,1,1,2
0,12,57556,2,1,3,1,4
0,13,57556,1,1,8,1,5
0,1,60297,1,1,4,1,2
0,1,60297,2,1,5,1,3
0,2,60297,1,1,2,1,1
0,2,60297,2,1,3,1,1
0,3,60297,1,1,10,1,4
0,3,60297,2,1,11,1,5
0,4,60297,1,1,12,1,4
0,4,60297,2,1,13,1,4
0,4,60297,3,1,14,1,5
0,4,60297,4,1,15,1,5
0,5,60297,1,1,6,1,2
0,5,60297,2,1,7,1,2
0,5,60297,3,1,8,1,3
0,5,60297,4,1,9,1,3
0,6,60297,1,1,2,1,1
0,6,60297,2,1,3,1,1
0,7,60297,1,1,1,1,2
0,8,60297,1,1,4,1,2
0,8,60297,2,1,5,1,3
0,9,60297,1,1,4,1,2
0,9,60297,2,1,4,1,2
0,9,60297,3,1,5,1,3
0,9,60297,4,1,5,1,3
0,10,60297,1,1,4,1,10
0,10,60297,2,1,4,1,10
0,10,60297,3,1,5,1,11
0,10,60297,4,1,5,1,11
0,11,60297,1,1,4,1,12
0,11,60297,2,1,5,1,14
0,12,60297,1,1,2,1,4
0,12,60297,2,1,2,1,4
0,12,60297,3,1,3,1,5
0,12,60297,4,1,3,1,5
0,13,60297,1,1,2,1,1
0,13,60297,2,1,2,1,1
0,13,60297,3,1,3,1,1
0,13,60297,4,1,3,1,1
0,14,60297,1,1,2,1,6
0,14,60297,2,1,3,1,8
0,15,60297,1,1,1,1,3
0,15,60297,2,1,1,1,2
0,16,60297,1,1,1,1,255
0,16,60297,2,1,1,1,255
0,16,60297,3,1,1,1,255
0,16,60297,4,1,1,1,255
0,17,60297,1,1,4,1,10
0,17,60297,2,1,4,1,10
0,17,60297,3,1,5,1,11
0,17,60297,4,1,5,1,11
0,1,60355,1,1,2,1,1
0,2,60355,1,1,3,1,2
0,3,60355,1,1,4,1,2
0,4,60355,1,1,5,1,1
0,5,60355,1,1,8,1,3
0,6,60355,1,1,2,1,3
0,7,60355,1,1,1,1,2
0,8,60355,1,1,2,1,1
0,9,60355,1,1,2,1,1
0,1,62533,1,1,8,1,2
0,1,62533,2,1,9,1,3
0,1,62533,3,1,10,1,4
0,1,62533,4,1,11,1,5
0,1,62533,5,1,12,1,6
0,2,62533,1,1,2,1,1
0,2,62533,2,1,3,1,2
0,2,62533,3,1,4,1,3
0,2,62533,4,1,5,1,4
0,2,62533,5,1,6,1,5
0,2,62533,6,1,1,1,6
0,3,62533,1,1,7,1,1
0,4,62533,1,1,7,1,13
0,5,62533,1,1,7,1,1
0,5,62533,2,1,7,1,1
0,1,64175,1,1,4,1,3
0,2,64175,1,1,3,1,2
0,3,64175,1,1,2,1,1
0,4,64175,1,1,5,1,1
0,5,64175,1,1,6,1,1
0,6,64175,1,1,8,1,2
0,7,64175,1,1,2,1,1
0,8,64175,1,1,3,1,2
0,1,64186,1,1,3,1,1
0,2,64186,1,1,2,1,1
0,3,64186,1,1,4,1,1
0,4,64186,1,1,5,1,2
0,5,64186,1,1,1,1,2
0,6,64186,1,1,1,1,3
0,7,64186,1,1,2,1,1
0,1,64197,1,1,2,1,1
0,2,64197,1,1,3,1,2
0,3,64197,1,1,7,1,2
0,4,64197,1,1,4,1,1
0,4,64197,2,1,5,1,1
0,4,64197,3,1,6,1,1
0,5,64197,1,1,2,1,1
0,6,64197,1,1,2,1,1
0,7,64197,1,1,2,1,3
0,1,66228,1,1,7,1,6
0,2,66228,1,1,7,1,3
0,3,66228,1,1,3,1,1
0,4,66228,1,1,2,1,1
0,5,66228,1,1,4,1,1
0,6,66228,1,1,6,1,4
0,7,66228,1,1,5,1,1
0,8,66228,1,1,5,1,1
0,9,66228,1,1,9,1,2
0,10,66228,1,1,12,1,6
0,11,66228,1,1,11,1,4
0,12,66228,1,1,10,1,3
0,13,66228,1,1,7,1,3
0,14,66228,1,1,3,1,1
0,15,66228,1,1,1,1,2
0,16,66228,1,1,2,1,1
0,1,67561,1,1,6,1,2
0,2,67561,1,1,2,1,1
0,3,67561,1,1,3,1,1
0,3,67561,2,1,4,1,1
0,3,67561,3,1,5,1,1
