charge,coordinate,casno,state,config
0,1,22,1,1
0,1,33,1,1
0,2,33,1,1
0,1,204,1,1
0,2,204,1,1
0,3,204,1,1
0,4,204,1,1
0,5,204,1,1
0,1,50000,1,1
0,2,50000,1,1
0,3,50000,1,1
0,4,50000,1,1
0,1,56235,1,1
0,2,56235,1,1
0,1,56406,1,1
0,2,56406,1,1
0,3,56406,1,1
0,4,56406,1,1
0,5,56406,1,1
0,6,56406,1,1
0,7,56406,1,1
0,8,56406,1,1
0,9,56406,1,1
0,10,56406,1,1
0,11,56406,1,1
0,12,56406,1,1
0,13,56406,1,1
0,14,56406,1,1
0,1,56417,1,1
0,2,56417,1,1
0,3,56417,1,1
0,4,56417,1,1
0,5,56417,1,1
0,6,56417,1,1
0,7,56417,1,1
0,8,56417,1,1
0,9,56417,1,1
0,1,57136,1,1
0,2,57136,1,1
0,3,57136,1,1
0,4,57136,1,1
0,5,57136,1,1
0,6,57136,1,1
0,7,57136,1,1
0,8,57136,1,1
0,9,57136,1,1
0,10,57136,1,1
0,11,57136,1,1
0,12,57136,1,1
0,1,57556,1,1
0,2,57556,1,1
0,3,57556,1,1
0,4,57556,1,1
0,5,57556,1,1
0,6,57556,1,1
0,7,57556,1,1
0,8,57556,1,1
0,9,57556,1,1
0,10,57556,1,1
0,11,57556,1,1
0,12,57556,1,1
0,13,57556,1,1
0,1,60297,1,1
0,2,60297,1,1
0,3,60297,1,1
0,4,60297,1,1
0,5,60297,1,1
0,6,60297,1,1
0,7,60297,1,1
0,8,60297,1,1
0,9,60297,1,1
0,10,60297,1,1
0,11,60297,1,1
0,12,60297,1,1
0,13,60297,1,1
0,14,60297,1,1
0,15,60297,1,1
0,16,60297,1,1
0,17,60297,1,1
0,1,60355,1,1
0,2,60355,1,1
0,3,60355,1,1
0,4,60355,1,1
0,5,60355,1,1
0,6,60355,1,1
0,7,60355,1,1
0,8,60355,1,1
0,9,60355,1,1
0,1,62533,1,1
0,2,62533,1,1
0,3,62533,1,1
0,4,62533,1,1
0,5,62533,1,1
0,1,64175,1,1
0,2,64175,1,1
0,3,64175,1,1
0,4,64175,1,1
0,5,64175,1,1
0,6,64175,1,1
0,7,64175,1,1
0,8,64175,1,1
0,1,64186,1,1
0,2,64186,1,1
0,3,64186,1,1
0,4,64186,1,1
0,5,64186,1,1
0,6,64186,1,1
0,7,64186,1,1
0,1,64197,1,1
0,2,64197,1,1
0,3,64197,1,1
0,4,64197,1,1
0,5,64197,1,1
0,6,64197,1,1
0,7,64197,1,1
0,1,66228,1,1
0,2,66228,1,1
0,3,66228,1,1
0,4,66228,1,1
0,5,66228,1,1
0,6,66228,1,1
0,7,66228,1,1
0,8,66228,1,1
0,9,66228,1,1
0,10,66228,1,1
0,11,66228,1,1
0,12,66228,1,1
0,13,66228,1,1
0,14,66228,1,1
0,15,66228,1,1
0,16,66228,1,1
0,17,66228,1,1
0,1,67561,1,1
0,2,67561,1,1
0,3,67561,1,1
0,4,67561,1,1
0,5,67561,1,1
0,6,67561,1,1
0,1,67641,1,1
0,2,67641,1,1
0,3,67641,1,1
0,4,67641,1,1
0,5,67641,1,1
0,6,67641,1,1
0,1,67663,1,1
0,2,67663,1,1
0,3,67663,1,1
0,4,67663,1,1
0,1,67685,1,1
0,2,67685,1,1
0,3,67685,1,1
0,4,67685,1,1
0,5,67685,1,1
0,6,67685,1,1
0,7,67685,1,1
0,8,67685,1,1
0,9,67685,1,1
0,10,67685,1,1
0,11,67685,1,1
0,12,67685,1,1
0,13,67685,1,1
0,1,67710,1,1
0,2,67710,1,1
0,3,67710,1,1
0,4,67710,1,1
0,5,67710,1,1
0,6,67710,1,1
0,7,67710,1,1
0,1,68122,1,1
0,2,68122,1,1
0,3,68122,1,1
0,4,68122,1,1
0,5,68122,1,1
0,6,68122,1,1
0,7,68122,1,1
0,8,68122,1,1
0,9,68122,1,1
0,10,68122,1,1
