dipz,charge,casno,squib,state,config,diptot
1.9900000e+000,0,22,NISTDiatomic,1,1,1.9900000e+000
0.0000000e+000,0,204,1973Tho:70,1,1,1.2910000e+000
,0,50000,NSRDS-NBS10,1,1,2.3299999e+000
,0,56235,NSRDS-NBS10,1,1,0.0000000e+000
,0,56406,1995Lov/Kaw:201,1,1,1.0947000e+000
,0,57136,,1,1,3.8299999e+000
,0,57578,NSRDS-NBS10,1,1,4.1799998e+000
,0,60297,NSRDS-NBS10,1,1,1.1500000e+000
,0,60355,NSRDS-NBS10,1,1,3.7600000e+000
,0,62533,NSRDS-NBS10,1,1,1.5300000e+000
,0,64175,1974Hel/Hel(II/6),1,1,1.4410000e+000
0.0000000e+000,0,64186,1984Gra/Gub,1,1,1.4100000e+000
,0,64197,1971Kri/Sae:4553,1,1,1.7000000e+000
,0,67561,NSRDS-NBS10,1,1,1.7000000e+000
,0,67630,1970Kon/Hir:97,1,1,1.5800000e+000
,0,67641,NSRDS-NBS10,1,1,2.8800001e+000
,0,67663,NSRDS-NBS10,1,1,1.0100000e+000
,0,67685,NSRDS-NBS10,1,1,3.9600000e+000
,0,67710,NSRDS-NBS10,1,1,4.4899998e+000
,0,68122,NSRDS-NBS10,1,1,3.8199999e+000
,0,71238,1974Hel/Hel(II/6),1,1,1.5500000e+000
,0,71363,NSRDS-NBS10,1,1,1.6600000e+000
,0,71432,NSRDS-NBS10,1,1,0.0000000e+000
,0,71556,NSRDS-NBS10,1,1,1.7800000e+000
,0,74828,NSRDS-NBS10,1,1,0.0000000e+000
1.8099999e+000,0,74839,1984Gra/Gub,1,1,1.8099999e+000
,0,74840,NSRDS-NBS10,1,1,0.0000000e+000
,0,74851,NSRDS-NBS10,1,1,0.0000000e+000
,0,74862,NSRDS-NBS10,1,1,0.0000000e+000
,0,74873,NSRDS-NBS10,1,1,1.8700000e+000
,0,74884,NSRDS-NBS10,1,1,1.6200000e+000
,0,74895,NSRDS-NBS10,1,1,1.3099999e+000
,0,74908,NSRDS-NBS10,1,1,2.9800000e+000
,0,74931,NSRDS-NBS10,1,1,1.5200000e+000
,0,74953,NSRDS-NBS10,1,1,1.4299999e+000
,0,74964,NSRDS-NBS10,1,1,2.0300000e+000
,0,74986,NSRDS-NBS10,1,1,8.3999999e-002
,0,74997,NSRDS-NBS10,1,1,7.8039998e-001
,0,75003,NSRDS-NBS10,1,1,2.0500000e+000
,0,75014,NSRDS-NBS10,1,1,1.4500000e+000
,0,75025,NSRDS-NBS10,1,1,1.4299999e+000
,0,75047,NSRDS-NBS10,1,1,1.2200000e+000
,0,75058,NSRDS-NBS10,1,1,3.9200001e+000
,0,75070,NSRDS-NBS10,1,1,2.6900001e+000
,0,75081,1974Hel/Hel(II/6),1,1,1.5200000e+000
,0,75092,NSRDS-NBS10,1,1,1.6000000e+000
,0,75105,NSRDS-NBS10,1,1,1.9700000e+000
,0,75127,NSRDS-NBS10,1,1,3.7300000e+000
,0,75138,1974Hel/Hel(II/6),1,1,
,0,75150,NSRDS-NBS10,1,1,0.0000000e+000
,0,75183,NSRDS-NBS10,1,1,1.5000000e+000
,0,75194,NSRDS-NBS10,1,1,0.0000000e+000
,0,75218,NSRDS-NBS10,1,1,1.8900000e+000
,0,75252,NSRDS-NBS10,1,1,9.9000001e-001
,0,75263,NSRDS-NBS10,1,1,2.2100000e+000
,0,75285,NSRDS-NBS10,1,1,1.3200000e-001
,0,75296,NSRDS-NBS10,1,1,2.1700001e+000
1.1900001e+000,0,75310,1977Meh/Gri:244,1,1,1.1900001e+000
,0,75343,NSRDS-NBS10,1,1,2.0599999e+000
,0,75354,NSRDS-NBS10,1,1,1.3400000e+000
,0,75365,NSRDS-NBS10,1,1,2.7200000e+000
,0,75376,NSRDS-NBS10,1,1,2.2700000e+000
,0,75387,NSRDS-NBS10,1,1,1.3800000e+000
,0,75434,NSRDS-NBS10,1,1,1.2900000e+000
,0,75445,NSRDS-NBS10,1,1,1.1700000e+000
,0,75467,NSRDS-NBS10,1,1,1.6500000e+000
,0,75503,NSRDS-NBS10,1,1,6.1199999e-001
,0,75525,NSRDS-NBS10,1,1,3.4600000e+000
,0,75569,NSRDS-NBS10,1,1,2.0100000e+000
,0,75616,NSRDS-NBS10,1,1,6.6000003e-001
6.3900000e-001,0,75638,1980Cox/Dux:339,1,1,6.3900000e-001
,0,75650,1971Vau:21,1,1,1.7400000e+000
,0,75683,NSRDS-NBS10,1,1,2.1400001e+000
,0,75694,NSRDS-NBS10,1,1,4.4999999e-001
,0,75718,NSRDS-NBS10,1,1,5.0999999e-001
,0,75729,NSRDS-NBS10,1,1,5.0000000e-001
,0,75730,NSRDS-NBS10,1,1,0.0000000e+000
0.0000000e+000,0,75763,,1,1,0.0000000e+000
,0,76051,NSRDS-NBS10,1,1,2.2800000e+000
,0,76153,NSRDS-NBS10,1,1,5.1999998e-001
0.0000000e+000,0,76164,,1,1,0.0000000e+000
,0,78784,NSRDS-NBS10,1,1,1.3000000e-001
,0,78795,NISThydrocarbon,1,1,2.5200000e-001
,0,78808,NISThydrocarbon,1,1,5.1200002e-001
,0,78831,NSRDS-NBS10,1,1,1.6400000e+000
,0,78864,NSRDS-NBS10,1,1,2.0400000e+000
,0,78933,1991Dur/Fen:1827,1,1,2.7790000e+000
,0,79005,1971Vau:21,1,1,1.5000000e+000
,0,79209,NSRDS-NBS10,1,1,1.7200000e+000
,0,98862,NSRDS-NBS10,1,1,3.0200000e+000
,0,98953,NSRDS-NBS10,1,1,4.2199998e+000
,0,100414,NSRDS-NBS10,1,1,5.8999997e-001
,0,100470,NSRDS-NBS10,1,1,4.1799998e+000
,0,100527,2005Des/Psz:1708,1,1,3.1396999e+000
,0,100663,2005Des/Psz:1708,1,1,1.2623000e+000
,0,106934,1971Vau:21,1,1,1.0400000e+000
,0,106945,NSRDS-NBS10,1,1,2.1800001e+000
,0,106989,NISThydrocarbon,1,1,3.5929999e-001
,0,107006,NISThydrocarbon,1,1,7.8170002e-001
,0,107028,NSRDS-NBS10,1,1,3.1199999e+000
,0,107051,NSRDS-NBS10,1,1,1.9400001e+000
,0,107108,NSRDS-NBS10,1,1,1.1700000e+000
,0,107120,NSRDS-NBS10,1,1,4.0200000e+000
,0,107131,NSRDS-NBS10,1,1,3.8699999e+000
,0,107153,NSRDS-NBS10,1,1,1.9900000e+000
,0,107186,NSRDS-NBS10,1,1,1.6000000e+000
,0,107197,1971Vau:21,1,1,1.8099999e+000
,0,107200,NSRDS-NBS10,1,1,2.7200000e+000
,0,107299,1969Rog/Sch:397,1,1,9.3800002e-001
,0,107313,1959Cur:1529,1,1,1.7700000e+000
,0,108861,NSRDS-NBS10,1,1,1.7000000e+000
,0,108883,1971Vau:21,1,1,3.3199999e-001
,0,108907,NSRDS-NBS10,1,1,1.6900001e+000
,0,108941,1971Vau:21,1,1,3.0200000e+000
,0,108952,1979Lar:175,1,1,1.2240000e+000
,0,109671,2000Fra/Xu:109671,1,1,3.9100000e-001
,0,109693,NSRDS-NBS10,1,1,2.0500000e+000
,0,109740,NSRDS-NBS10,1,1,4.0700002e+000
,0,109773,NSRDS-NBS10,1,1,3.7300000e+000
2.2499999e-001,0,109933,1971Hir/Cur:358,1,2,7.8200001e-001
,0,109944,1974Hel/Hel(II/6),1,1,1.9800000e+000
,0,109977,NSRDS-NBS10,1,1,1.8400000e+000
,0,109999,NSRDS-NBS10,1,1,1.6300000e+000
,0,110009,NSRDS-NBS10,1,1,6.6000003e-001
,0,110021,NSRDS-NBS10,1,1,5.5000001e-001
,0,110598,NSRDS-NBS10,1,1,4.1199999e+000
3.3100000e-001,0,110838,NISThydrocarbon,1,1,3.3100000e-001
,0,110861,NSRDS-NBS10,1,1,2.1900001e+000
,0,110883,NSRDS-NBS10,1,1,2.0799999e+000
8.0000001e-001,0,110894,1981Par/Buc:465,1,1,8.1999999e-001
5.2100003e-001,0,110894,1981Par/Buc:465,1,2,1.1890000e+000
,0,111433,NSRDS-NBS10,1,1,1.2100000e+000
,0,115071,NISThydrocarbon,1,1,3.6346000e-001
,0,115106,NSRDS-NBS10,1,1,1.3000000e+000
