charge,casno,squib,Entropy,state,config
0,22,webbook,1.7247000e+002,1,1
0,50000,Gurvich,2.1875999e+002,1,1
0,51796,,,1,1
0,56235,Gurvich,3.0946100e+002,1,1
0,56406,,,1,1
0,56417,,,1,1
0,56815,,,1,1
0,57136,TRC,2.7789999e+002,1,1
0,57556,TRC,2.8800000e+002,1,1
0,57578,TRC,2.8625000e+002,1,1
0,60297,TRC,3.4267001e+002,1,1
0,60355,TRC,2.8382999e+002,1,1
0,62533,,,1,1
0,62566,,,1,1
0,64175,Gurvich,2.8162201e+002,1,1
0,64186,Gurvich,2.4887399e+002,1,1
0,64197,TRC,2.8347000e+002,1,1
0,67561,Gurvich,2.3986501e+002,1,1
0,67630,TRC,3.0920001e+002,1,1
0,67641,TRC,2.9545999e+002,1,1
0,67663,Gurvich,2.9635300e+002,1,1
0,67685,,,1,1
0,67710,,,1,1
0,67721,webbook,3.9784000e+002,1,1
0,70291,,,1,1
0,71238,TRC,3.2257999e+002,1,1
0,71363,TRC,3.6159000e+002,1,1
0,71410,,,1,1
0,71432,TRC,2.6929999e+002,1,1
0,71556,,,1,1
0,74828,Gurvich,1.8636800e+002,1,1
0,74839,Gurvich,2.4591299e+002,1,1
0,74840,Gurvich,2.2916200e+002,1,1
0,74851,Gurvich,2.1931599e+002,1,1
0,74862,Gurvich,2.0092599e+002,1,1
0,74873,Gurvich,2.3439200e+002,1,1
0,74895,TRC,2.4289000e+002,1,1
0,74908,Gurvich,2.0182001e+002,1,1
0,74931,webbook,2.5514000e+002,1,1
0,74953,Gurvich,2.9342599e+002,1,1
0,74964,,,1,1
0,74986,TRC,2.7031000e+002,1,1
0,74997,TRC,2.4847000e+002,1,1
0,75003,TRC,2.7589001e+002,1,1
0,75014,Gurvich,2.6401901e+002,1,1
0,75025,Gurvich,2.5266901e+002,1,1
0,75047,TRC,2.8378000e+002,1,1
0,75058,TRC,2.4339999e+002,1,1
0,75070,webbook,2.6395001e+002,1,1
0,75081,TRC,2.9625000e+002,1,1
0,75092,Gurvich,2.7035999e+002,1,1
0,75105,Gurvich,2.4670700e+002,1,1
0,75127,,,1,1
0,75138,JANAF,2.3822800e+002,1,1
0,75150,Gurvich,2.3797701e+002,1,1
0,75183,TRC,2.8595999e+002,1,1
0,75194,TRC,2.3738000e+002,1,1
0,75218,JANAF,2.4301199e+002,1,1
0,75252,Gurvich,3.3066901e+002,1,1
0,75285,TRC,2.9550000e+002,1,1
0,75296,TRC,3.0604999e+002,1,1
0,75310,TRC,3.1223999e+002,1,1
0,75332,TRC,3.2441000e+002,1,1
0,75343,TRC,3.0517001e+002,1,1
0,75354,Gurvich,2.8815900e+002,1,1
0,75365,TRC,2.9520999e+002,1,1
0,75376,TRC,2.8270001e+002,1,1
0,75387,Gurvich,2.6603601e+002,1,1
0,75434,webbook,2.9325000e+002,1,1
0,75445,JANAF,2.8379599e+002,1,1
0,75456,webbook,2.8095999e+002,1,1
0,75467,Gurvich,2.5967401e+002,1,1
0,75503,TRC,2.8879999e+002,1,1
0,75525,TRC,2.7520001e+002,1,1
0,75569,TRC,2.8114999e+002,1,1
0,75638,webbook,2.9782001e+002,1,1
0,75649,TRC,3.2806000e+002,1,1
0,75650,TRC,3.2670001e+002,1,1
0,75661,,,1,1
0,75694,Gurvich,3.0977899e+002,1,1
0,75718,Gurvich,3.0090302e+002,1,1
0,75729,Gurvich,2.8541901e+002,1,1
0,75730,Gurvich,2.6145401e+002,1,1
0,75763,webbook,3.6112000e+002,1,1
0,75796,webbook,3.5109000e+002,1,1
0,75832,TRC,3.5839999e+002,1,1
0,76164,JANAF,3.3218500e+002,1,1
0,78784,TRC,3.4373999e+002,1,1
0,78795,TRC,3.1467001e+002,1,1
0,78808,,,1,1
0,78819,,,1,1
0,78820,TRC,3.1466000e+002,1,1
0,78831,,,1,1
0,78842,,,1,1
0,78864,,,1,1
0,78875,,,1,1
0,78900,,,1,1
0,78933,TRC,3.3947000e+002,1,1
0,79005,,,1,1
0,79016,Gurvich,3.2496100e+002,1,1
0,79050,,,1,1
0,79061,,,1,1
0,79107,TRC,3.0773001e+002,1,1
0,79196,,,1,1
0,79209,TRC,3.2120001e+002,1,1
0,79298,TRC,3.6592999e+002,1,1
0,79390,,,1,1
0,79403,,,1,1
0,91203,,3.3479999e+002,1,1
0,96140,TRC,3.8300000e+002,1,1
0,96184,,,1,1
0,96220,,,1,1
0,96311,,,1,1
0,96333,,,1,1
0,96377,,,1,1
0,96413,,,1,1
0,96480,,,1,1
0,96548,,,1,1
0,98862,webbook,3.7288000e+002,1,2
0,98953,,,1,1
0,100414,webbook,3.6050000e+002,1,1
0,100425,webbook,3.4510001e+002,1,1
0,100527,,,1,1
