A,B,charge,C,symno,casno,SQUIB,state,polyatomic,config
3.126396000000000e+000,3.115608700000000e-001,0,2.996209400000000e-001,1,204,1973Tho:70,1,poly,1
9.405300000000000e+000,1.295300000000000e+000,0,1.134200000000000e+000,2,50000,1966Herzberg,1,poly,1
8.874000000000001e+000,1.342000000000000e+000,1,1.148000000000000e+000,2,50000,2008Sch/Mei:44,1,poly,1
5.712950000000000e-002,5.712950000000000e-002,0,5.712950000000000e-002,12,56235,1984Yam/Tak:3800,1,poly,1
3.449640000000000e-001,1.292960000000000e-001,0,9.714600000000000e-002,0,56406,1991Iij/Tan:257,1,poly,1
1.689880100000000e-001,1.034361200000000e-001,0,7.552034000000001e-002,,56417,1993God/Fir:9687,1,poly,1
1.433596438200000e-001,1.055879130000000e-001,0,8.474009042610001e-002,1,56815,1997Mac/Cam:4115,1,poly,1
3.747026000000000e-001,3.458860000000000e-001,0,1.806783000000000e-001,2,57136,1997God/Bro:405,1,poly,1
3.816700000000000e-001,3.127300000000000e-001,0,1.696600000000000e-001,1,60355,2001Sue/Gol:188,1,poly,1
1.877098000000000e-001,8.652086000000001e-002,0,5.927567000000000e-002,2,62533,1986Rou/Non:180,1,poly,1
3.529713846000000e-001,1.715625297000000e-001,0,1.155395056600000e-001,1,62566,2004Les/Mat:6191,1,poly,1
1.134645288508230e+000,3.064999387009260e-001,0,2.701863500515410e-001,1,64175,1980Kak/Qua:4300,1,poly,1
2.585480000000000e+000,4.021120000000000e-001,0,3.474470000000000e-001,1,64186,1966Herzberg,1,poly,1
3.777291000000000e-001,3.166921000000000e-001,0,1.776612300000000e-001,1,64197,2003Ily/Ale:170,1,poly,1
4.257304000000000e+000,8.233756000000000e-001,0,7.927270000000000e-001,1,67561,1984Her/Mes:42,1,poly,1
2.831620000000000e-001,2.682400000000000e-001,0,1.589490000000000e-001,,67630,1970Kon/Hir:97,1,poly,1
3.390700000000000e-001,2.840400000000000e-001,0,1.637800000000000e-001,2,67641,1966Herzberg,1,poly,1
1.101450000000000e-001,1.101450000000000e-001,0,5.932176000000000e-002,3,67663,1995Car/Seo:215,1,poly,1
2.347126700000000e-001,2.305185000000000e-001,0,1.407231530000000e-001,2,67685,1969Fed/Dre:266,1,poly,1
1.547120000000000e-001,1.432804500000000e-001,0,1.393340500000000e-001,2,67710,1972Sai/Mak:92,1,poly,1
4.780170000000000e-001,1.707680000000000e-001,0,1.442430000000000e-001,1,71238,1970Abd/Rah:123,1,poly,1
1.896000000000000e-001,1.896000000000000e-001,0,9.480000000000000e-002,12,71432,1966Herzberg,1,poly,1
,7.914140000000000e-002,0,,3,71556,1952Gho/Tra:605,1,poly,1
5.241200000000000e+000,5.241200000000000e+000,0,5.241200000000000e+000,12,74828,1966Herzberg,1,poly,1
5.246310000000000e+000,3.219200000000000e-001,0,3.219200000000000e-001,3,74839,1981Gra:394,1,poly,1
2.519673680000000e+000,6.834083000000000e-001,0,6.834083000000000e-001,6,74840,1998Kuc,1,poly,1
4.828000000000000e+000,1.001200000000000e+000,0,8.282000000000001e-001,4,74851,1966Herzberg,1,poly,1
,1.176600000000000e+000,0,,2,74862,1966Herzberg,1,linear,1
5.097000000000000e+000,4.434010000000000e-001,0,4.434010000000000e-001,3,74873,1966Herzberg,1,poly,1
5.173400000000000e+000,2.502088000000000e-001,0,2.502088026100000e-001,3,74884,1975mal:94,1,poly,1
3.440000000000000e+000,7.546000000000001e-001,0,7.237000000000000e-001,1,74895,1966Herzberg,1,poly,1
,1.478220000000000e+000,0,,1,74908,1966Herzberg,1,linear,1
3.425411012000000e+000,4.318765190000000e-001,0,4.131606290000000e-001,1,74931,1999Bet/Sas:789,1,poly,1
8.683111700000000e-001,4.131313740000000e-002,0,3.972554900000000e-002,2,74953,1985Dav/Ger:269,1,poly,1
9.742527000000000e-001,2.817310000000000e-001,0,2.488050000000000e-001,2,74986,1960Lide:1514,1,poly,1
5.210000000000000e+000,2.850580000000000e-001,0,2.850580000000000e-001,3,74997,1966Herzberg,1,poly,1
1.045301000000000e+000,1.832500000000000e-001,0,1.655250000000000e-001,1,75003,1962Sch/Jac:1245,1,poly,1
1.873235000000000e+000,2.011380000000000e-001,0,1.816350000000000e-001,1,75014,1966Herzberg,1,poly,1
2.154312700000000e+000,3.548057600000000e-001,0,3.041473000000000e-001,1,75025,1989Hay/Ina:135,1,poly,1
5.280000000000000e+000,3.068420000000000e-001,0,3.068420000000000e-001,3,75058,1966Herzberg,1,poly,1
1.887700000000000e+000,3.390100000000000e-001,0,3.035400000000000e-001,1,75070,1966Herzberg,1,poly,1
1.067481490000000e+000,1.107526790000000e-001,0,1.022450620000000e-001,2,75092,1989Tul/Niv:355,1,poly,1
1.592128000000000e+000,3.537826000000000e-001,0,3.085413000000000e-001,2,75105,1978Hir:409,1,poly,1
2.425555349000000e+000,3.793874630000000e-001,0,3.280175910000000e-001,0,75127,1974Hir/Sug:251,1,poly,1
3.063777000000000e+001,3.693000000000000e-001,0,3.641000000000000e-001,1,75138,1997Bro/Ber:9764,1,poly,1
,1.091000000000000e-001,0,,2,75150,1966Herzberg,1,linear,1
