charge,intsquib,modeindex,Intensity,casno,unique,modenumber,Frequency,squib,state,config,Intensityunc,Symmetry
0,1982Nak/Kon:3860,1,7.5500000e+001,50000,1,1,2.7820000e+003,1982Nak/Kon:3860,1,1,7.0500002e+000,A1
0,1982Nak/Kon:3860,2,7.3989998e+001,50000,1,2,1.7460000e+003,1982Nak/Kon:3860,1,1,5.2900000e+000,A1
0,1982Nak/Kon:3860,3,1.1150000e+001,50000,1,3,1.5000000e+003,1982Nak/Kon:3860,1,1,1.0200000e+000,A1
0,1982Nak/Kon:3860,4,6.4899998e+000,50000,1,4,1.1670000e+003,1982Nak/Kon:3860,1,1,6.3999999e-001,B1
0,1982Nak/Kon:3860,5,8.7599998e+001,50000,1,5,2.8430000e+003,1982Nak/Kon:3860,1,1,8.0200005e+000,B2
0,1982Nak/Kon:3860,6,9.9399996e+000,50000,1,6,1.2490000e+003,1982Nak/Kon:3860,1,1,9.7000003e-001,B2
1,,1,,50000,1,1,2.5800000e+003,webbook,1,1,,A1
1,,2,,50000,1,2,1.6750000e+003,webbook,1,1,,A1
1,,3,,50000,1,3,1.2100000e+003,webbook,1,1,,A1
1,,4,,50000,1,4,1.0365000e+003,2008Sch/Mei:44,1,1,,B1
1,,5,,50000,1,5,2.7180000e+003,webbook,1,1,,B2
1,,6,,50000,1,6,8.2366998e+002,2008Sch/Mei:44,1,1,,B2
0,,1,,56235,1,1,4.5900000e+002,Shim,1,1,,A1
0,,2,,56235,1,2,2.1700000e+002,Shim,1,1,,E
0,,3,,56235,0,2,2.1700000e+002,Shim,1,1,,E
0,,4,,56235,1,3,7.7600000e+002,Shim,1,1,,T2
0,,5,,56235,0,3,7.7600000e+002,Shim,1,1,,T2
0,,6,,56235,0,3,7.7600000e+002,Shim,1,1,,T2
0,,7,,56235,1,4,3.1400000e+002,Shim,1,1,,T2
0,,8,,56235,0,4,3.1400000e+002,Shim,1,1,,T2
0,,9,,56235,0,4,3.1400000e+002,Shim,1,1,,T2
0,,1,,57136,1,1,3.5450000e+003,1993Vij/Sat:245,1,1,,A1
0,,2,,57136,1,2,3.4400000e+003,1993Vij/Sat:245,1,1,,A1
0,,3,,57136,1,3,1.7400000e+003,1993Vij/Sat:245,1,1,,A1
0,,4,,57136,1,4,1.5900000e+003,1993Vij/Sat:245,1,1,,A1
0,,5,,57136,1,5,1.1450000e+003,1993Vij/Sat:245,1,1,,A1
0,,6,,57136,1,6,9.4000000e+002,1993Vij/Sat:245,1,1,,A1
0,,7,,57136,1,8,5.5500000e+002,1993Vij/Sat:245,1,1,,A2
0,,8,,57136,1,7,4.7900000e+002,1993Vij/Sat:245,1,1,,A1
0,,9,,57136,1,9,2.3300000e+002,1993Vij/Sat:245,1,1,,A2
0,,10,,57136,1,13,3.5350000e+003,1993Vij/Sat:245,1,1,,B2
0,,11,,57136,1,14,3.4400000e+003,1993Vij/Sat:245,1,1,,B2
0,,12,,57136,1,15,1.5900000e+003,1993Vij/Sat:245,1,1,,B2
0,,13,,57136,1,16,1.3930000e+003,1993Vij/Sat:245,1,1,,B2
0,,14,,57136,1,17,1.0040000e+003,1993Vij/Sat:245,1,1,,B2
0,,15,,57136,1,10,7.8500000e+002,1993Vij/Sat:245,1,1,,B1
0,,16,,57136,1,11,5.8000000e+002,1993Vij/Sat:245,1,1,,B1
0,,17,,57136,1,18,5.4300000e+002,1993Vij/Sat:245,1,1,,B2
0,,18,,57136,1,12,5.0000000e+002,1993Vij/Sat:245,1,1,,B1
0,,1,,57578,1,1,3.0010000e+003,1963Dur:1225,1,1,,A'
0,,2,,57578,1,2,2.9350000e+003,1963Dur:1225,1,1,,A'
0,,3,,57578,1,3,1.8820000e+003,1963Dur:1225,1,1,,A'
0,,4,,57578,1,4,1.4750000e+003,1963Dur:1225,1,1,,A'
0,,5,,57578,1,5,1.4270000e+003,1963Dur:1225,1,1,,A'
0,,6,,57578,1,6,1.3190000e+003,1963Dur:1225,1,1,,A'
0,,7,,57578,1,7,1.1990000e+003,1963Dur:1225,1,1,,A'
0,,8,,57578,1,8,1.0930000e+003,1963Dur:1225,1,1,,A'
0,,9,,57578,1,9,1.0050000e+003,1963Dur:1225,1,1,,A'
0,,10,,57578,1,10,9.2400000e+002,1963Dur:1225,1,1,,A'
0,,11,,57578,1,11,8.9100000e+002,1963Dur:1225,1,1,,A'
0,,12,,57578,1,12,7.4600000e+002,1963Dur:1225,1,1,,A'
0,,13,,57578,1,13,5.1300000e+002,1963Dur:1225,1,1,,A'
0,,14,,57578,1,14,3.0280000e+003,1963Dur:1225,1,1,,"A"""
0,,15,,57578,1,15,3.0000000e+003,1963Dur:1225,1,1,,"A"""
0,,16,,57578,1,16,1.1840000e+003,1963Dur:1225,1,1,,"A"""
0,,17,,57578,1,17,1.1390000e+003,1963Dur:1225,1,1,,"A"""
0,,18,,57578,1,18,1.0460000e+003,1963Dur:1225,1,1,,"A"""
0,,19,,57578,1,19,7.9000000e+002,1963Dur:1225,1,1,,"A"""
0,,20,,57578,1,20,4.9000000e+002,1963Dur:1225,1,1,,"A"""
0,,21,,57578,1,21,1.1300000e+002,1963Dur:1225,1,1,,"A"""
0,,1,,60355,1,1,3.5500000e+003,1998Samdal:165,1,1,,A
0,,2,,60355,1,2,3.4500000e+003,1998Samdal:165,1,1,,A
0,,3,,60355,1,3,2.9670000e+003,1998Samdal:165,1,1,,A
0,,4,,60355,1,4,2.9000000e+003,1998Samdal:165,1,1,,A
0,,5,,60355,1,5,2.8600000e+003,1998Samdal:165,1,1,,A
0,,6,,60355,1,6,1.7330000e+003,1998Samdal:165,1,1,,A
0,,7,,60355,1,7,1.6000000e+003,1998Samdal:165,1,1,,A
0,,8,,60355,1,8,1.4330000e+003,1998Samdal:165,1,1,,A
0,,9,,60355,1,9,1.4330000e+003,1998Samdal:165,1,1,,A
0,,10,,60355,1,10,1.3850000e+003,1998Samdal:165,1,1,,A
0,,11,,60355,1,11,1.3190000e+003,1998Samdal:165,1,1,,A
0,,12,,60355,1,12,1.1340000e+003,1998Samdal:165,1,1,,A
0,,13,,60355,1,13,1.0400000e+003,1998Samdal:165,1,1,,A
0,,14,,60355,1,14,9.6500000e+002,1998Samdal:165,1,1,,A
0,,15,,60355,1,15,8.5800000e+002,1998Samdal:165,1,1,,A
0,,16,,60355,1,16,6.2500000e+002,1998Samdal:165,1,1,,A
0,,17,,60355,1,17,5.4800000e+002,1998Samdal:165,1,1,,A
0,,18,,60355,1,18,5.0660001e+002,1998Samdal:165,1,1,,A
0,,19,,60355,1,19,4.2700000e+002,1998Samdal:165,1,1,,A
0,,20,,60355,1,20,2.5879999e+002,1998Samdal:165,1,1,,A
0,,21,,60355,1,21,,,1,1,,A
0,,1,,64175,1,1,3.6528999e+003,1998Cou/Bou:5789,1,1,,A'
0,,2,,64175,1,2,2.9841001e+003,,1,1,,A'
0,,3,,64175,1,3,2.9392000e+003,,1,1,,A'
0,,4,,64175,1,4,2.8996001e+003,,1,1,,A'
0,,5,,64175,1,5,1.4902000e+003,,1,1,,A'
0,,6,,64175,1,6,1.4635000e+003,,1,1,,A'
0,,7,,64175,1,7,1.4117000e+003,,1,1,,A'
0,,8,,64175,1,8,1.3714000e+003,,1,1,,A'
0,,9,,64175,1,9,1.2563000e+003,,1,1,,A'
0,,10,,64175,1,10,1.0907000e+003,,1,1,,A'
0,,11,,64175,1,11,1.0277000e+003,,1,1,,A'
0,,12,,64175,1,12,8.8759998e+002,,1,1,,A'
0,,13,,64175,1,13,4.1650000e+002,,1,1,,A'
0,,14,,64175,1,14,2.9913999e+003,,1,1,,"A"""
0,,15,,64175,1,15,2.9096001e+003,,1,1,,"A"""
0,,16,,64175,1,16,1.4458000e+003,,1,1,,"A"""
0,,17,,64175,1,17,1.2748000e+003,,1,1,,"A"""
0,,18,,64175,1,18,1.1610000e+003,,1,1,,"A"""
0,,19,,64175,1,19,8.1179999e+002,,1,1,,"A"""
0,,20,,64175,1,20,,1998Cou/Bou:5789,1,1,,"A"""
0,,21,,64175,1,21,,1998Cou/Bou:5789,1,1,,"A"""
0,,1,,64186,1,1,3.5700000e+003,1966Herzberg,1,1,,A'
0,,2,,64186,1,2,2.9430000e+003,1966Herzberg,1,1,,A'
0,,3,,64186,1,3,1.7700000e+003,1966Herzberg,1,1,,A'
0,,4,,64186,1,4,1.3870000e+003,1966Herzberg,1,1,,A'
0,,5,,64186,1,5,1.2290000e+003,1966Herzberg,1,1,,A'
0,,6,,64186,1,6,1.1050000e+003,1966Herzberg,1,1,,A'
0,,7,,64186,1,7,6.2500000e+002,1966Herzberg,1,1,,A'
0,,8,,64186,1,8,1.0330000e+003,1966Herzberg,1,1,,"A"""
0,,9,,64186,1,9,6.3800000e+002,1966Herzberg,1,1,,"A"""
0,,1,,64197,1,1,3.5830000e+003,Shim,1,1,,A'
0,,2,,64197,1,2,3.0510000e+003,Shim,1,1,,A'
0,,3,,64197,1,3,2.9440000e+003,Shim,1,1,,A'
0,,4,,64197,1,4,1.7880000e+003,Shim,1,1,,A'
0,,5,,64197,1,5,1.4300000e+003,Shim,1,1,,A'
0,,6,,64197,1,6,1.3820000e+003,Shim,1,1,,A'
0,,7,,64197,1,7,1.2640000e+003,Shim,1,1,,A'
0,,8,,64197,1,8,1.1820000e+003,Shim,1,1,,A'
0,,9,,64197,1,9,9.8900000e+002,Shim,1,1,,A'
0,,10,,64197,1,10,8.4700000e+002,Shim,1,1,,A'
0,,11,,64197,1,11,6.5700000e+002,Shim,1,1,,A'
0,,12,,64197,1,12,,Shim,1,1,,A'
0,,13,,64197,1,13,2.9960000e+003,Shim,1,1,,"A"""
0,,14,,64197,1,14,1.4300000e+003,Shim,1,1,,"A"""
0,,15,,64197,1,15,1.0480000e+003,Shim,1,1,,"A"""
0,,16,,64197,1,16,6.4200000e+002,Shim,1,1,,"A"""
0,,17,,64197,1,17,5.3400000e+002,Shim,1,1,,"A"""
0,,18,,64197,1,18,9.3000000e+001,Shim,1,1,,"A"""
0,,1,,67561,1,1,3.6810000e+003,Shim,1,1,,A'
0,,2,,67561,1,2,3.0000000e+003,Shim,1,1,,A'
0,,3,,67561,1,3,2.8440000e+003,Shim,1,1,,A'
0,,4,,67561,1,4,1.4770000e+003,Shim,1,1,,A'
0,,5,,67561,1,5,1.4550000e+003,Shim,1,1,,A'
0,,6,,67561,1,6,1.3450000e+003,Shim,1,1,,A'
0,,7,,67561,1,7,1.0600000e+003,Shim,1,1,,A'
0,,8,,67561,1,8,1.0330000e+003,Shim,1,1,,A'
0,,9,,67561,1,9,2.9600000e+003,Shim,1,1,,"A"""
0,,10,,67561,1,10,1.4770000e+003,Shim,1,1,,"A"""
0,,11,,67561,1,11,1.1650000e+003,Shim,1,1,,"A"""
0,,12,,67561,1,12,2.0000000e+002,Shim,1,1,,"A"""
0,,1,,67641,1,1,3.0190000e+003,Shim,1,1,,A1
0,,2,,67641,1,2,2.9370000e+003,Shim,1,1,,A1
0,,3,,67641,1,3,1.7310000e+003,Shim,1,1,,A1
0,,4,,67641,1,4,1.4350000e+003,Shim,1,1,,A1
0,,5,,67641,1,5,1.3640000e+003,Shim,1,1,,A1
0,,6,,67641,1,6,1.0660000e+003,Shim,1,1,,A1
0,,7,,67641,1,7,7.7700000e+002,Shim,1,1,,A1
0,,8,,67641,1,8,3.8500000e+002,Shim,1,1,,A1
0,,9,,67641,1,9,2.9630000e+003,Shim,1,1,,A2
0,,10,,67641,1,10,1.4260000e+003,Shim,1,1,,A2
0,,11,,67641,1,11,8.7700000e+002,Shim,1,1,,A2
0,,12,,67641,1,12,7.7000000e+001,1993Sme/Sen:2754,1,1,,A2
0,,13,,67641,1,13,2.9720000e+003,Shim,1,1,,B1
0,,14,,67641,1,14,1.4540000e+003,Shim,1,1,,B1
0,,15,,67641,1,15,1.0910000e+003,Shim,1,1,,B1
0,,16,,67641,1,16,4.8400000e+002,Shim,1,1,,B1
0,,17,,67641,1,17,1.2516000e+002,1993Sme/Sen:2754,1,1,,B1
0,,18,,67641,1,18,3.0190000e+003,Shim,1,1,,B2
0,,19,,67641,1,19,2.9370000e+003,Shim,1,1,,B2
0,,20,,67641,1,20,1.4100000e+003,Shim,1,1,,B2
0,,21,,67641,1,21,1.3640000e+003,Shim,1,1,,B2
0,,22,,67641,1,22,1.2160000e+003,Shim,1,1,,B2
0,,23,,67641,1,23,8.9100000e+002,Shim,1,1,,B2
0,,24,,67641,1,24,5.3000000e+002,Shim,1,1,,B2
0,,1,,67663,1,1,3.0341001e+003,Shim,1,1,,A1
0,,2,,67663,1,2,6.8000000e+002,Shim,1,1,,A1
0,,3,,67663,1,3,3.6600000e+002,Shim,1,1,,A1
0,,4,,67663,1,4,1.2197000e+003,Shim,1,1,,E
0,,5,,67663,0,4,1.2197000e+003,Shim,1,1,,E
0,,6,,67663,1,5,7.7400000e+002,Shim,1,1,,E
0,,7,,67663,0,5,7.7400000e+002,Shim,1,1,,E
0,,8,,67663,1,6,2.6000000e+002,Shim,1,1,,E
0,,9,,67663,0,6,2.6000000e+002,Shim,1,1,,E
0,,1,,67685,1,1,3.0100000e+003,1972Gei/Han:283,1,1,,A'
0,,2,,67685,1,2,3.0100000e+003,,1,1,,A'
0,,3,,67685,1,3,2.9330000e+003,,1,1,,A'
0,,4,,67685,1,4,1.4190000e+003,,1,1,,A'
0,,5,,67685,1,5,1.4050000e+003,,1,1,,A'
0,,6,,67685,1,6,1.3040000e+003,,1,1,,A'
0,,7,,67685,1,7,1.1020000e+003,,1,1,,A'
0,,8,,67685,1,8,1.0160000e+003,,1,1,,A'
0,,9,,67685,1,9,1.0060000e+003,,1,1,,A'
0,,10,,67685,1,10,6.7200000e+002,,1,1,,A'
0,,11,,67685,1,11,3.8200000e+002,,1,1,,A'
0,,12,,67685,1,12,3.0800000e+002,,1,1,,A'
0,,13,,67685,1,13,,,1,1,,
0,,14,,67685,1,14,3.0100000e+003,,1,1,,"A"""
0,,15,,67685,1,15,3.0100000e+003,,1,1,,"A"""
0,,16,,67685,1,16,2.9330000e+003,,1,1,,"A"""
0,,17,,67685,1,17,1.4550000e+003,,1,1,,"A"""
0,,18,,67685,1,18,1.4400000e+003,,1,1,,"A"""
0,,19,,67685,1,19,1.3190000e+003,,1,1,,"A"""
0,,20,,67685,1,20,9.5300000e+002,,1,1,,"A"""
0,,21,,67685,1,21,9.3300000e+002,,1,1,,"A"""
0,,22,,67685,1,22,6.9500000e+002,,1,1,,"A"""
0,,23,,67685,1,23,3.3300000e+002,,1,1,,"A"""
0,,24,,67685,1,24,,,1,1,,
0,,1,,67710,1,1,3.0180000e+003,1970McL/Car:1121,1,1,,A1
0,,2,,67710,1,2,2.9360000e+003,1970McL/Car:1121,1,1,,A1
0,,3,,67710,1,3,1.4510000e+003,1970McL/Car:1121,1,1,,A1
0,,4,,67710,1,4,1.3370000e+003,1970McL/Car:1121,1,1,,A1
0,,5,,67710,1,5,1.1210000e+003,1970McL/Car:1121,1,1,,A1
0,,6,,67710,1,6,1.0130000e+003,1970McL/Car:1121,1,1,,A1
0,,7,,67710,1,7,7.0300000e+002,1970McL/Car:1121,1,1,,A1
0,,8,,67710,1,8,4.9600000e+002,1970McL/Car:1121,1,1,,A1
0,,9,,67710,1,9,2.9400000e+002,1970McL/Car:1121,1,1,,A1
0,,10,,67710,1,10,3.0240000e+003,1970McL/Car:1121,1,1,,A2
0,,11,,67710,1,11,1.4050000e+003,1970McL/Car:1121,1,1,,A2
0,,12,,67710,1,12,9.3700000e+002,1970McL/Car:1121,1,1,,A2
0,,13,,67710,1,13,3.2600000e+002,1970McL/Car:1121,1,1,,A2
0,,14,,67710,1,14,,,1,1,,A2
0,,15,,67710,1,15,3.0250000e+003,1970McL/Car:1121,1,1,,B1
0,,16,,67710,1,16,1.4280000e+003,1970McL/Car:1121,1,1,,B1
0,,17,,67710,1,17,1.2690000e+003,1970McL/Car:1121,1,1,,B1
0,,18,,67710,1,18,9.8600000e+002,1970McL/Car:1121,1,1,,B1
0,,19,,67710,1,19,3.9600000e+002,1970McL/Car:1121,1,1,,B1
0,,20,,67710,1,20,2.6200000e+002,1970McL/Car:1121,1,1,,B1
0,,21,,67710,1,21,3.0170000e+003,1970McL/Car:1121,1,1,,B2
0,,22,,67710,1,22,2.9360000e+003,1970McL/Car:1121,1,1,,B2
0,,23,,67710,1,23,1.4380000e+003,1970McL/Car:1121,1,1,,B2
