charge,casno,squib,IE,IE_unc,config
0,10000,webbook,8.8000002e+000,1.0000000e-001,1
0,50000,2008Sch/Mei:44,1.0885000e+001,9.9999998e-003,1
0,51796,webbook,1.0200000e+001,,1
0,56235,webbook,1.1470000e+001,9.9999998e-003,1
0,56406,webbook,8.8999996e+000,,1
0,56417,webbook,8.8800001e+000,,1
0,57136,webbook,9.6999998e+000,,1
0,57578,webbook,9.6999998e+000,9.9999998e-003,1
0,60297,webbook,9.5100002e+000,2.9999999e-002,1
0,60355,webbook,9.6899996e+000,7.0000000e-002,1
0,62533,webbook,7.7199998e+000,2.0000001e-003,1
0,62566,webbook,8.5000000e+000,,1
0,64175,webbook,1.0480000e+001,7.0000000e-002,1
0,64186,webbook,1.1330000e+001,9.9999998e-003,1
0,64197,webbook,1.0650000e+001,2.0000000e-002,1
0,65850,webbook,9.3000002e+000,,1
0,67561,webbook,1.0840000e+001,9.9999998e-003,1
0,67630,webbook,1.0170000e+001,2.0000000e-002,1
0,67641,webbook,9.7030001e+000,6.0000001e-003,1
0,67663,webbook,1.1370000e+001,2.0000000e-002,1
0,67685,webbook,9.1000004e+000,,1
0,67710,webbook,,,1
0,68122,webbook,9.1300001e+000,,1
0,70291,webbook,8.7500000e+000,,1
0,71238,webbook,1.0220000e+001,5.9999999e-002,1
0,71363,webbook,9.9899998e+000,5.0000001e-002,1
0,71410,webbook,1.0000000e+001,,1
0,71432,webbook,9.2437801e+000,7.0000002e-005,1
0,71556,webbook,1.1000000e+001,,1
0,74828,webbook,1.2610000e+001,9.9999998e-003,1
0,74839,,1.0541000e+001,3.0000000e-003,1
0,74840,webbook,1.1520000e+001,3.9999999e-002,1
0,74851,webbook,1.0513800e+001,6.0000003e-004,1
0,74862,webbook,1.1400000e+001,2.0000001e-003,1
0,74873,webbook,1.1260000e+001,2.9999999e-002,1
0,74884,webbook,9.5400000e+000,2.0000000e-002,1
0,74895,webbook,8.8999996e+000,1.0000000e-001,1
0,74908,webbook,1.3600000e+001,9.9999998e-003,1
0,74931,webbook,9.4390001e+000,4.9999999e-003,1
0,74953,webbook,1.0410000e+001,1.3000000e-001,1
0,74964,webbook,1.0290000e+001,9.9999998e-003,1
0,74975,webbook,1.0770000e+001,9.9999998e-003,1
0,74986,webbook,1.0940000e+001,5.0000001e-002,1
