Cd,Kr,Cl,Co,Cr,Te,Cu,Pd,Ti,He,Li,Mass,filename,Mg,omit,nval,Mn,B,Mo,C,Hill,D,In,symno,F,Ag,H,I,Al,K,polyatomic,N,O,P,Rb,Ar,As,Na,S,Zn,Nb,V,Rh,Ne,Zr,X,Y,Ni,Jg,Fe,charge,Be,Ru,Sb,Sc,Br,Se,vibs,casno,Si,formula,Ga,Sn,Ca,Ge,Sr
0,0,0,0,0,0,0,0,0,0,0,3.406000000000000e+001,nh3nh3,0,n,16,0,0,0,0,H6N2,0,0,1,0,0,6,0,0,0,poly,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,22,0,H6N2,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,3.505000000000000e+001,h2onh3,0,n,16,0,0,0,0,H5NO,0,0,1,0,0,5,0,0,0,poly,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,33,0,H5N1O1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,4.804000000000000e+001,h2oh2co,0,n,20,0,0,0,1,CH4O2,0,0,1,0,0,4,0,0,0,poly,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,55,0,H4C1O2,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,5.006000000000000e+001,h2och3oh,0,n,22,0,0,0,1,CH6O2,0,0,1,0,0,6,0,0,0,poly,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,77,0,H6C1O2,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,5.006000000000000e+001,ch3ohh2o,0,n,22,0,0,0,1,CH6O2,0,0,1,0,0,6,0,0,0,poly,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,88,0,H6C1O2,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,6.404000000000001e+001,hcoohh2o,0,n,26,0,0,0,1,CH4O3,0,0,1,0,0,4,0,0,0,poly,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,99,0,H4C1O3,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,6.404000000000001e+001,h2ohcooh_10,0,n,26,0,0,0,1,CH4O3,0,0,1,0,0,4,0,0,0,poly,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,102,0,H4C1O3,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,6.404000000000001e+001,h2ohcooh_11,0,n,26,0,0,0,1,CH4O3,0,0,1,0,0,4,0,0,0,poly,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,113,0,H4C1O3,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,6.409000000000000e+001,h2och3och3,0,n,28,0,0,0,2,C2H8O2,0,0,1,0,0,8,0,0,0,poly,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,124,0,H8C2O2,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,8.909999999999999e+001,d13,0,n,36,0,0,0,2,C2H7N3O,0,0,1,0,0,7,0,0,0,poly,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,135,0,H7C2N3O1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,9.500000000000000e+001,ch3seh,0,n,14,0,0,0,1,CH4Se,0,0,1,0,0,4,0,0,0,poly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,204,0,H4C1Se1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,4.406000000000000e+001,cn2h4,0,n,18,0,0,0,1,CH4N2,0,0,1,0,0,4,0,0,0,poly,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,10000,0,H4C1N2,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,3.002627945000000e+001,h2co-,0,n,13,0,0,0,1,CH2O,0,0,2,0,0,2,0,0,0,poly,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,6,50000,0,H2C1O1,0,0,0,0,0
