sumcolno,charge,maxcolno,casno,MaxAtNo,heavies,Species,omit,sumatno,ssqcolno,Name,atoms
16,0,5,22,7,2,NH3NH3,0,20,56,Ammonia Dimer,8
16,0,6,33,8,2,H2ONH3,0,20,66,Water Ammonia Dimer,7
20,0,6,55,8,3,H2OH2CO,0,26,168,water formaldehyde dimer,7
22,0,6,77,8,3,H2OCH3OH,0,28,94,water methanol dimer,9
22,0,6,88,8,3,CH3OHH2O,0,28,94,methanol water dimer,9
26,0,6,99,8,4,HCOOHH2O,0,34,128,Formic acid water dimer,8
26,0,6,102,8,4,H2OHCOOH,0,34,128,Water formic acid dimer 1,8
26,0,6,113,8,4,H2OHCOOH,0,34,128,Water formic acid dimer 2,8
28,0,6,124,8,4,H2OCH3OCH3,0,36,112,water dimethylether dimer,12
36,0,6,135,8,6,HCONH2CN2H4,0,48,150,formamide aminomethanimine dimer,13
14,0,6,204,34,2,CH3SeH,0,44,56,Methane selenol,6
18,0,5,10000,7,3,NHCHNH2,0,24,70,aminomethanimine,7
12,-1,6,50000,8,2,H2CO-,0,16,54,formaldehyde anion,4
12,0,6,50000,8,2,H2CO,0,16,54,Formaldehyde,4
12,1,6,50000,8,2,H2CO+,0,16,54,formaldehyde cation,4
36,0,6,51796,8,6,NH2COOC2H5,0,48,152,Urethane,13
33,1,5,51923,7,5,NC4H12+,0,43,101,tetramethyl ammonium cation,17
32,0,7,56235,17,5,CCl4,0,74,212,Carbon tetrachloride,5
30,0,6,56406,8,5,H2NCH2COOH,0,40,134,Glycine,10
36,0,6,56417,8,6,CH3CH(NH2)COOH,0,48,152,Alanine,13
42,0,6,56451,8,7,HO2CCHNH2CH2OH,0,56,176,Serine,14
38,0,6,56815,8,6,C3H8O3,0,50,164,"1,2,3-Propanetriol",14
24,0,6,57136,8,4,NH2CONH2,0,32,106,Urea,8
24,1,6,57136,8,4,NH2CONH2+,0,32,106,Urea cation,8
32,0,6,57556,8,5,C3H8O2,0,42,128,Propylene glycol,13
28,0,6,57578,8,5,C3H4O2,0,38,124,&beta;&ndash;Propiolactone,9
32,0,6,60297,8,5,C4H10O,0,42,110,Ethoxy ethane,15
24,0,6,60355,8,4,CH3CONH2,0,32,98,Acetamide,9
36,0,5,62533,7,7,C6H5NH2,0,50,128,aniline,14
24,0,6,62566,16,4,NH2CSNH2,0,40,106,Thiourea,8
20,0,6,64175,8,3,CH3CH2OH,0,26,74,Ethanol,9
18,0,6,64186,8,3,HCOOH,0,24,90,Formic acid,5
24,0,6,64197,8,4,CH3COOH,0,32,108,Acetic acid,8
46,0,6,65850,8,9,C6H5COOH,0,64,190,benzoic acid,15
42,0,6,66228,8,8,C4H4N2O2,0,58,190,Uracil,12
14,-1,6,67561,8,2,CH3OH-,0,18,56,Methyl alcohol anion,6
14,0,6,67561,8,2,CH3OH,0,18,56,Methyl alcohol,6
14,1,6,67561,8,2,CH3OH+,0,18,56,Methyl alcohol cation,6
26,0,6,67630,8,4,CH3CHOHCH3,0,34,92,Isopropyl alcohol,12
24,-1,6,67641,8,4,CH3COCH3-,0,32,90,acetone anion,10
24,0,6,67641,8,4,CH3COCH3,0,32,90,Acetone,10
26,0,7,67663,17,4,CHCl3,0,58,164,Chloroform,5
26,0,6,67685,16,4,CH3SOCH3,0,42,110,Dimethyl sulfoxide,10
32,0,6,67710,16,5,C2H6O2S,0,50,146,Dimethyl sulfone,11
50,0,7,67721,17,8,C2Cl6,0,114,366,hexachloroethane,8
30,0,6,68122,8,5,C3H7NO,0,40,116,dimethylformamide,12
38,0,6,70291,16,6,C4H10OS,0,58,146,Diethyl sulfoxide,16
26,0,6,71238,8,4,C3H7OH,0,34,92,1-Propanol,12
32,0,6,71363,8,5,C4H10O,0,42,110,1-Butanol,15
38,0,6,71410,8,6,C5H12O,0,50,128,1-Pentanol,18
30,0,4,71432,6,6,C6H6,0,42,102,Benzene,12
23,-1,6,71501,8,4,CH3COO-,0,31,107,acetate anion,7
23,-1,6,71523,8,4,HCO3-,0,31,125,bicarbonate anion,5
32,0,7,71556,17,5,CH3CCl3,0,66,182,"Ethane, 1,1,1-trichloro-",8
8,0,4,74828,6,1,CH4,0,10,20,Methane,5
8,1,4,74828,6,1,CH4+,0,10,20,Methane cation,5
14,0,7,74839,35,2,CH3Br,0,44,68,methyl bromide,5
14,0,4,74840,6,2,C2H6,0,18,38,Ethane,8
14,1,4,74840,6,2,C2H6+,0,18,38,ethane cation,8
12,-1,4,74851,6,2,C2H4-,0,16,36,Ethylene anion,6
12,0,4,74851,6,2,C2H4,0,16,36,Ethylene,6
12,1,4,74851,6,2,C2H4+,0,16,36,Ethylene cation,6
10,0,4,74862,6,2,C2H2,0,14,34,Acetylene,4
10,1,4,74862,6,2,C2H2+,0,14,34,acetylene cation,4
14,0,7,74873,17,2,CH3Cl,0,26,68,Methyl chloride,5
14,0,7,74884,53,2,CH3I,0,62,68,methyl iodide,5
14,0,5,74895,7,2,CH3NH2,0,18,46,methyl amine,7
10,-1,5,74908,7,2,HCN-,0,14,42,Hydrogen cyanide anion,3
10,0,5,74908,7,2,HCN,0,14,42,Hydrogen cyanide,3
10,1,5,74908,7,2,HCN+,0,14,42,hydrogen cyanide cation,3
14,0,6,74931,16,2,CH3SH,0,26,56,Methanethiol,6
20,0,7,74953,35,3,CH2Br2,0,78,116,dibromomethane,5
20,0,7,74964,35,3,C2H5Br,0,52,86,Ethyl bromide,8
20,0,7,74975,35,3,CH2ClBr,0,60,116,"Methane, bromochloro-",5
20,0,4,74986,6,3,C3H8,0,26,56,Propane,11
16,0,4,74997,6,3,CH3CCH,0,22,52,propyne,7
20,0,7,75003,17,3,CH3CH2Cl,0,34,86,Ethyl chloride,8
18,0,7,75014,17,3,CH2CHCl,0,32,84,"Ethene, chloro-",6
18,0,7,75025,9,3,CH2CHF,0,24,84,"Ethene, fluoro-",6
18,1,7,75025,9,3,CH2CHF+,0,24,84,fluoroethene cation,6
20,0,5,75047,7,3,CH3CH2NH2,0,26,64,Ethylamine,10
16,-1,5,75058,7,3,CH3CN-,0,22,60,acetonitrile anion,6
16,0,5,75058,7,3,CH3CN,0,22,60,Acetonitrile,6
16,1,5,75058,7,3,CH3CN+,0,22,60,Acetonitrile cation,6
18,0,6,75070,8,3,CH3CHO,0,24,72,Acetaldehyde,7
20,0,6,75081,16,3,CH3CH2SH,0,34,74,ethanethiol,9
20,0,7,75092,17,3,CH2Cl2,0,42,116,Methylene chloride,5
20,0,7,75105,9,3,CH2F2,0,26,116,"Methane, difluoro-",5
18,0,6,75127,8,3,CHONH2,0,24,80,formamide,6
16,0,6,75138,8,3,HNCO,0,22,78,Isocyanic acid,4
16,-1,6,75150,16,3,CS2-,0,38,88,Carbon disulfide anion,3
16,0,6,75150,16,3,CS2,0,38,88,Carbon disulfide,3
16,1,6,75150,16,3,CS2+,0,38,88,Carbon disulfide cation,3
20,0,6,75183,16,3,CH3SCH3,0,34,74,Dimethyl sulfide,9
18,0,4,75194,6,3,C3H6,0,24,54,Cyclopropane,9
18,0,6,75218,8,3,C2H4O,0,24,72,Ethylene oxide,7
24,0,4,75241,13,4,Al(CH3)3,0,40,66,trimethyl aluminum,13
26,0,7,75252,35,4,CHBr3,0,112,164,bromoform,5
26,0,7,75263,35,4,CH3CHBrCH3,0,60,104,i-propyl bromide,10
26,0,7,75274,35,4,CHBrCl2,0,76,164,"Methane, bromodichloro-",5
26,0,4,75285,6,4,CH3CH(CH3)CH3,0,34,74,Isobutane,14
26,0,7,75296,17,4,CH3CHClCH3,0,42,104,"Propane, 2-chloro-",11
26,0,5,75310,7,4,CH3CH(NH2)CH3,0,34,82,2-Propanamine,13
26,0,6,75332,16,4,CH3CHSHCH3,0,42,92,2-Propanethiol,12
26,0,7,75343,17,4,CH3CHCl2,0,50,134,"Ethane, 1,1-dichloro-",8
24,0,7,75354,17,4,CH2CCl2,0,48,132,"Ethene, 1,1-dichloro-",6
24,0,7,75365,17,4,CH3COCl,0,40,120,Acetyl Chloride,7
26,0,7,75376,9,4,CH3CHF2,0,34,134,"Ethane, 1,1-difluoro-",8
24,0,7,75387,9,4,CH2CF2,0,32,132,"Ethene, 1,1-difluoro-",6
26,0,7,75434,17,4,CHFCl2,0,50,164,fluorodichloromethane,5
24,0,7,75445,17,4,CCl2O,0,48,150,Phosgene,4
26,0,7,75456,17,4,CHF2Cl,0,42,164,difluorochloromethane,5
26,0,7,75467,9,4,CHF3,0,34,164,"Methane, trifluoro-",5
26,0,5,75503,7,4,N(CH3)3,0,34,82,Trimethylamine,13
