charge,othername,casno,unikey,expose
0,White tar,91203,1,1
0,Camphor tar,91203,2,1
0,Naftalen,91203,3,1
0,Moth balls,91203,4,1
0,NCI-C52904,91203,5,1
0,Rcra waste number U165,91203,6,1
0,UN 1334,91203,7,1
0,UN 2304,91203,8,1
0,phenyl,2396012,9,1
0,UN 1065,7440019,10,1
0,UN 1913,7440019,11,1
0,UN 1420,7440097,12,1
0,UN 2257,7440097,13,1
0,UN 1006,7440371,14,1
0,UN 1951,7440371,15,1
0,UN 1046,7440597,16,1
0,UN 1963,7440597,17,1
0,Oxammonium,7803498,18,1
0,Boron hydride,19287457,19,1
0,Diboron hexahydride,19287457,20,1
0,Boroethane,19287457,21,1
0,UN 1911,19287457,22,1
0,Amid kyseliny mravenci,75127,23,1
0,"1,3-Butadiene, 2-methyl-",78795,24,1
0,"1,3-Butandiol",107880,25,1
0,"1,3-Butanediol",107880,26,1
0,"1,3-Butylene glycol",107880,27,1
0,"1,3-Butylenglykol",107880,28,1
0,"1,3-Cyclohexadiene",592574,29,1
0,"1,3-Cyclopentadiene",542927,30,1
0,"1,3-Cyclopentadiene, 5-methylene-",497201,31,1
0,"1,3-Diamino-2-Thiourea",2231574,32,1
0,"1,3-Diaza-2,4-cyclopentadiene",288324,33,1
0,"1,3-Diazabenzene",289952,34,1
0,"1,3-Diazine",289952,35,1
0,"1,3-Diazole",288324,36,1
0,"1,3-Dichlorobutane",1190223,37,1
0,"1,3-Dihydroxybutane",107880,38,1
0,"1,3-Dihydroxypropane",504632,39,1
0,"1,3-Dimercaptopropane",109808,40,1
0,"1,3-Dimethylallene",591968,41,1
0,"1,3-Dimethylurea",96311,42,1
0,"1,3-Dioxacyclohexane",505226,43,1
0,"1,3-Dioxacyclopentane",646060,44,1
0,"1,3-Dioxane",505226,45,1
0,"1,3-Dioxolan",646060,46,1
0,"1,3-Dioxolane",646060,47,1
0,"1,3-Dioxolane, 2-methyl-",497267,48,1
0,"1,3-Dioxole, dihydro-",646060,49,1
0,"1,3-Dithiacyclopentane-2-thial",822388,50,1
0,"1,3-Dithiolan-2-thione",822388,51,1
0,"1,3-Dithiolane-2-thione",822388,52,1
0,"1,3-Epoxy-2,2-dimethylpropane",6921353,53,1
0,"1,3-Epoxypropane",503300,54,1
0,"1,3-Hexadiene, (E)-",20237347,55,1
0,"1,3-Hexadiene, (Z)-",14596920,56,1
0,"1,3-Oxazole",288426,57,1
0,"1,3-Pentadiene, (E)-",2004708,58,1
0,"1,3-Pentadiene, (Z)-",1574410,59,1
0,"1,3-Propanedimercaptan",109808,60,1
0,"1,3-Propanediol",504632,61,1
0,"1,3-Propanediol formal",505226,62,1
0,"1,3-Propanedithiol",109808,63,1
0,"1,3-Propiolactone",57578,64,1
0,"1,3-Propylene glycol",504632,65,1
0,"1,3-Propylene oxide",503300,66,1
0,"1,3-Propylenediol",504632,67,1
0,"1,3-Trimethylene oxide",503300,68,1
0,"1,4-BD",110634,69,1
0,"1,4-Butanedinitrile",110612,70,1
0,"1,4-Butanediol",110634,71,1
0,"1,4-Butanedithiol",1191088,72,1
0,"1,4-Butanolide",96480,73,1
0,"1,4-Butylene glycol",110634,74,1
0,"1,4-Butyrolactone",96480,75,1
0,"1,4-Cyclohexadiene",628411,76,1
0,"1,4-Diazabenzene",290379,77,1
0,"1,4-Diazine",290379,78,1
0,"1,4-Dichlorobutane",110565,79,1
0,"1,4-Diethylene dioxide",123911,80,1
0,"1,4-Dihydrobenzene",628411,81,1
0,"1,4-Dihydroxybutane",110634,82,1
0,"1,4-Dimercaptobutane",1191088,83,1
0,"1,4-Dioxacyclohexane",123911,84,1
0,"1,4-Dioxan",123911,85,1
0,"1,4-Dioxane",123911,86,1
0,"1,4-Dioxin, tetrahydro-",123911,87,1
0,"1,4-Hexadiene, (E)-",7319008,88,1
0,"1,4-Hexadiene, (Z)-",7318674,89,1
0,"1,4-Pentadiene",591935,90,1
0,"1,4-Tetramethylene glycol",110634,91,1
0,"1,5-Hexadiene",592427,92,1
0,"1,cis-2-Dichloroethene",156592,93,1
0,"1,cis-3-Pentadiene",1574410,94,1
0,"1,trans-2-Dichloroethene",156605,95,1
0,"1,trans-3-Pentadiene",2004708,96,1
0,1-Mercaptoethane,75081,97,1
0,1-Mercaptopentane,110667,98,1
0,1-Methoxybutane,628284,99,1
0,1-Methoxypropane,557175,100,1
0,"1-Methyl-1,3-propanediol",107880,101,1
0,1-Methyl-1-Butanol,6032297,102,1
0,1-Methyl-1-cyclopentane,693890,103,1
0,1-Methyl-1-cyclopentene,693890,104,1
0,1-Methyl-1H-pyrrole,96548,105,1
0,1-Methyl-1H-tetrazole,16681779,106,1
0,1-Methyl-1-propanethiol,513531,107,1
0,"1-Methyl-2,3-butadiene",591957,108,1
0,1-Methyl-2-propylacetylene,764352,109,1
0,1-Methyl-3-cyclopentene,1759815,110,1
0,1-Methylallyl chloride,563520,111,1
0,1-Methylbutanol,6032297,112,1
0,1-Methylcyclopentene,693890,113,1
0,1-Methylcyclopropene,3100047,114,1
0,1-Methylethanethiol,75332,115,1
0,1-Methylethyl Alcohol,67630,116,1
0,1-Methylethylamine,75310,117,1
0,1-Methylpropanamine,13952846,118,1
0,1-Methylpropyl chloride,78864,119,1
0,1-Methylpropylamine,13952846,120,1
0,1-Methylpyrrole,96548,121,1
