reference,journal,squib,doi
"LR Maxwell, SB Hendricks, VM Mosley ""Electron Diffraction by Gases"" J. Chem. Phys. 3, 699, 1935","J. Chem. Phys., 1935, 3, 699",1935Max/Hen:699,10.1063/1.1749580
"Tindal, C.; Straley, J.; Nielsen, H.  ""The Vibration-Rotation Spectrum of SiH4.""  Physical Review.  62, 151-160 (1942)","Phys. Rev., 1942, 62, 151-160",1942Tin/Str:151,10.1103/PhysRev.62.151
"JR Nielsen, CM Richards, HF McMurry ""The Infrared Absorption Spectrum of Hexafluoroethane Gas"" J. Chem. Phys. 16(1), 67, 1948","J. Chem. Phys., 1948, 16, 67",1948Nie/Ric:67,10.1063/1.1746659
"Gilliam, O.R.; Edwards, H.D.; Gordy, W.  ""Microwave Investigations of Methyl Fluoride, Fluoroform, and Phosphorus Trifluoride.""  Physical Review.  75, 1014-1016 (1949)","Phys. Rev., 1949, 75, 1014-1016",1949Gil/Edw:1014,10.1103/PhysRev.75.1014
"Roberts, A.; Edgell, W. ""The Microwave Spectrum of CF2CH2.""  Journal of Chemical Physics.  17, 742-743 (1949)","J. Chem. Phys. 1949, 17, 742",1949Rob/Edg:742,10.1063/1.1747384
"EK Plyler, MA Lamb ""Infrared Spectrum of Chlorofluoromethane"" J. Research of the National Bureau of Standards 45(3) 1950 204-208",,1950Ply/Lam:204,
"D. W. Scott, H. L. Finke, W. N. Hubbard, J. P. McCullough, M. E. Gross, K. D. Williamson, Guy Waddington, H. M. Huffman ""Spiropentane: Heat Capacity, Heats of Fusion and Vaporization, Vapor Pressure, Entropy and Thermodynamic Functions"" J. Am. Chem. Soc., 1950, 72 (10), pp 4664–4668",,1950Sco/Fin:4664,10.1021/ja01166a089
"BL Crawford, WH Fletcher ""Infrared Spectra of CH2N2 and CD2N2"" J. Chem. Phys. 19(4), 406, 1951","J. Chem. Phys., 1951, 19, 406",1951Cra/Fle:406,10.1063/1.1748238
"Jones, Badger, Moore, The Infrared Spectrum and the Structure of Gaseous Nitrous Acid, J. of Chem. Phys., Vol. 19, #12, pgs. 1599-1604","J. Chem. Phys., 1951, 19, 1599-1604",1951Jon/Bad:1599,10.1063/1.1748129
"SS Penner, D Weber ""Quantitative Infrared-Intensity and Line-Width Measurements on HCl, HBr, and NO"" Analytical Chemistry 23 (7), 1048, 1951","Analytical Chemistry 1951, 23, 1048",1951Pen/Web:1048,
"Ghosh, S., Trambarulo, R., Gordy, W., Microwave Spectra and Molecular Structures of Fluoroform, Chloroform, and Methyl Chloroform, J. of Chem. Phys., Vol. 20, #4, pgs. 605-607","J. Chem. Phys., 1952, 20, 605-607",1952Gho/Tra:605,10.1063/1.1700501
"Sheridan, J., Gordy, W., The Microwave Spectra and Molecular Structure of Trifluoromethyl Bromide, Iodide, and Cyanide, J. of Chem. Phys., Vol. 20, # 4, pgs. 591-595","J. Chem. Phys., 1952, 20, 591-595",1952She/Gor:591,10.1063/1.1700499
"Williams, Q.; Sheridan, J.; Gordy, W.  ""Microwave Spectra and molecular Structures of POF3, PSF3, POCl3, and PSCl3.""  Journal of Chemical Physics.  20, 164-167 (1952)","J. Chem. Phys., 1952, 20, 164-167",1952Wil/She:164,10.1063/1.1700162
"E.V. Ivash, D.M. Dennison, ""The methyl Alcohol Molecule and Its Microwave Spectrum"", J. Chem. Phys. 21, 1804, (1953)","J. Chem. Phys., 1953, 21, 1804",1953Iva/Den:1804,10.1063/1.1698668
